transaction_id,customer_id,store_id,transaction_date,total_amount
1,C205,103,2024-01-15,32372.25
2,C41,104,2024-01-17,54041.31
3,C392,103,2024-01-18,43806.53
4,C404,103,2024-01-11,6165.18
5,C269,102,2024-01-02,48713.67
6,C341,103,2024-01-20,60677.81
8,C19,104,2024-01-16,15361.55
9,C350,103,2024-01-06,29172.9
10,C310,102,2024-01-02,3395.68
11,C158,102,2024-01-08,23271.17
12,C50,105,2024-01-17,11476.28
14,C18,104,2024-01-06,65197.42
15,C398,104,2024-01-20,24318.85
16,C60,105,2024-01-08,44238.84
17,C95,101,2024-01-15,11414.32
18,C143,103,2024-01-13,54757.27
19,C34,102,2024-01-01,15887.45
20,C452,101,2024-01-04,27070.55
21,C164,104,2024-01-02,19947.6
22,C106,105,2024-01-16,16613.53
23,C321,101,2024-01-17,13240.59
24,C69,102,2024-01-13,35985.16
25,C291,104,2024-01-04,26240.87
26,C353,104,2024-01-19,16443.82
27,C392,104,2024-01-16,28303.68
28,C249,101,2024-01-04,17247.7
29,C162,104,2024-01-19,33204.32
30,C50,103,2024-01-21,17802.26
31,C249,103,2024-01-11,16693.85
32,C57,101,2024-01-08,7559.09
33,C335,104,2024-01-16,22060.93
34,C375,104,2024-01-18,12643.12
35,C385,102,2024-01-02,30634.28
36,C123,104,2024-01-13,26661.13
37,C314,102,2024-01-02,180635.69
38,C287,102,2024-01-15,33460.75
39,C240,105,2024-01-07,50569.67
40,C357,101,2024-01-01,25385.78
41,C267,101,2024-01-16,35283.65
42,C25,102,2024-01-17,10419.95
43,C294,104,2024-01-12,202660.66
44,C172,105,2024-01-19,8870.92
45,C95,105,2024-01-04,22869.29
46,C114,103,2024-01-13,39338.23
47,C167,104,2024-01-07,76009.58
48,C458,102,2024-01-05,24719.75
49,C102,105,2024-01-06,51008.71
50,C36,101,2024-01-10,2199.33
51,C330,104,2024-01-21,10042.16
52,C313,101,2024-01-21,72551.64
53,C40,105,2024-01-13,50356.79
54,C88,102,2024-01-14,117563.35
55,C447,103,2024-01-15,53712.46
56,C449,105,2024-01-13,82926.02
57,C495,102,2024-01-11,12375.38
58,C212,101,2024-01-02,14364.36
60,C451,105,2024-01-16,7989.53
61,C444,101,2024-01-05,10242.16
62,C347,102,2024-01-04,49619.39
63,C167,105,2024-01-20,15764.8
64,C48,104,2024-01-02,22540.55
65,C406,104,2024-01-11,44652.32
66,C312,105,2024-01-05,60334.66
67,C329,103,2024-01-18,21135.79
68,C335,105,2024-01-10,19306.35
69,C26,103,2024-01-07,60624.43
70,C209,105,2024-01-21,28845.86
71,C490,105,2024-01-18,1322.6
72,C303,101,2024-01-05,2587.55
73,C168,104,2024-01-14,48907.87
74,C97,103,2024-01-07,38554.76
75,C146,104,2024-01-15,50829.3
76,C237,104,2024-01-12,4624.56
77,C351,103,2024-01-02,16005.45
78,C126,103,2024-01-19,16728.66
79,C302,102,2024-01-05,6643.62
80,C264,101,2024-01-06,48483.29
81,C440,105,2024-01-17,23474.5
82,C189,104,2024-01-13,33122.99
83,C381,104,2024-01-05,5760.1
84,C168,101,2024-01-03,17986.15
