line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
1,1.0,P5,,3,11251.35
2,1.0,P42,,5,21120.9
3,2.0,P28,,5,22177.3
4,2.0,P61,,3,12295.53
6,2.0,P62,,4,19568.48
7,3.0,P26,3.0,5,17166.95
8,3.0,P67,,4,3636.48
9,3.0,P49,,5,23003.1
10,4.0,P75,4.0,3,6165.18
11,5.0,P69,5.0,5,15361.55
13,5.0,P60,2.0,4,14745.4
14,5.0,P71,,4,18606.72
15,6.0,P15,3.0,3,12958.2
16,6.0,P63,,3,8130.78
17,6.0,P50,,5,15174.15
18,6.0,P38,,1,3833.61
19,6.0,P44,,2,2149.32
20,6.0,P60,2.0,5,18431.75
21,7.0,P61,1.0,4,16394.04
22,7.0,P12,2.0,5,3889.15
24,8.0,P69,,5,15361.55
25,9.0,P38,,5,19168.05
26,9.0,P56,,5,6366.6
27,9.0,P35,,1,3638.25
28,10.0,P16,,4,3395.68
29,11.0,P58,,5,14400.25
30,11.0,P28,,2,8870.92
31,12.0,P10,5.0,2,3747.56
32,12.0,P45,,4,7728.72
34,14.0,P54,,3,14784.21
35,14.0,P78,,5,22540.55
36,14.0,P14,,2,7606.66
37,14.0,P55,2.0,5,20266.0
38,15.0,P7,,1,3760.37
39,15.0,P2,,4,12999.88
40,15.0,P29,,2,7558.6
41,16.0,P5,,5,18752.25
42,16.0,P61,,1,4098.51
43,16.0,P55,,4,16212.8
44,16.0,P39,,2,5175.28
45,17.0,P18,,1,3434.36
46,17.0,P67,1.0,5,4545.6
47,17.0,P18,,1,3434.36
48,18.0,P32,4.0,3,4614.45
50,18.0,P48,4.0,5,23099.65
51,18.0,P15,,4,17277.6
52,18.0,P69,5.0,4,12289.24
53,18.0,P48,,1,4619.93
54,19.0,P52,,1,648.15
55,19.0,INVALID_P,,5,13470.73
56,20.0,P60,4.0,5,18431.75
57,20.0,P15,,2,8638.8
58,21.0,P11,,4,19947.6
59,22.0,P24,,3,8432.43
60,22.0,P34,,5,579.5
61,22.0,P72,,2,7601.6
62,23.0,P55,,2,8106.4
63,23.0,P43,5.0,1,2587.55
64,23.0,P56,,2,2546.64
65,24.0,P7,1.0,1,3760.37
66,24.0,P40,1.0,5,3107.05
68,24.0,P15,3.0,5,21597.0
69,24.0,P7,3.0,2,7520.74
70,25.0,P36,,3,10879.32
71,25.0,P69,3.0,5,15361.55
72,26.0,P26,,4,13733.56
73,26.0,P63,,1,2710.26
74,27.0,P31,5.0,3,5300.58
75,27.0,P49,,5,23003.1
76,28.0,P46,,2,1783.18
77,28.0,P30,,4,15464.52
78,29.0,P1,2.0,4,17739.8
79,29.0,P30,4.0,4,15464.52
80,30.0,P22,,2,4786.88
81,30.0,P36,,2,7252.88
83,31.0,P21,,4,12079.4
84,31.0,P32,,3,4614.45
85,32.0,P52,2.0,2,1296.3
86,32.0,P68,4.0,2,5371.2
87,32.0,P46,,1,891.59
88,33.0,P4,4.0,2,1568.38
89,33.0,P61,,5,20492.55
90,34.0,P14,1.0,2,7606.66
91,34.0,P13,,2,5036.46
92,35.0,P70,,5,24126.9
93,35.0,P66,3.0,1,4739.56
94,35.0,P17,,2,1767.82
95,36.0,P6,4.0,4,10963.96
96,36.0,P4,1.0,1,784.19
97,36.0,P51,3.0,2,4988.34
98,36.0,P67,,2,1818.24
