line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount,reject_reason
5,2.0,P52,3.0,-1,-648.15,negative_quantity;negative_line_item_amount
12,5.0,P15,,-1,-4319.4,negative_quantity;negative_line_item_amount
23,8.0,P38,,-1,-3833.61,negative_quantity;negative_line_item_amount
33,13.0,P75,,-1,-2055.06,negative_quantity;negative_line_item_amount
49,,P41,2.0,2,6327.94,has_null
67,24.0,P30,,-1,-3866.13,negative_quantity;negative_line_item_amount
82,,INVALID_P,,5,5762.5,has_null
99,36.0,P13,,-1,-2518.23,negative_quantity;negative_line_item_amount
103,37.0,P28,3.0,-1,-4435.46,negative_quantity;negative_line_item_amount
111,39.0,P3,4.0,-1,-800.07,negative_quantity;negative_line_item_amount
115,39.0,P55,,-1,-4053.2,negative_quantity;negative_line_item_amount
135,46.0,P54,2.0,-1,-4928.07,negative_quantity;negative_line_item_amount
136,46.0,P57,4.0,-1,-1280.27,negative_quantity;negative_line_item_amount
143,47.0,P46,,-1,-891.59,negative_quantity;negative_line_item_amount
145,48.0,P42,,-1,-4224.18,negative_quantity;negative_line_item_amount
155,51.0,P56,,-1,-1273.32,negative_quantity;negative_line_item_amount
158,51.0,P26,1.0,-1,-3433.39,negative_quantity;negative_line_item_amount
160,52.0,P21,3.0,-1,-3019.85,negative_quantity;negative_line_item_amount
169,53.0,P34,4.0,4,,has_null
170,53.0,P70,4.0,-1,-4825.38,negative_quantity;negative_line_item_amount
174,54.0,P45,,-1,-1932.18,negative_quantity;negative_line_item_amount
213,63.0,P43,,-1,-2587.55,negative_quantity;negative_line_item_amount
217,65.0,P52,,-1,-648.15,negative_quantity;negative_line_item_amount
226,68.0,P67,2.0,-1,-909.12,negative_quantity;negative_line_item_amount
270,82.0,P72,,1,,has_null
272,82.0,P25,3.0,-1,-4717.91,negative_quantity;negative_line_item_amount
284,88.0,P78,5.0,-1,-4508.11,negative_quantity;negative_line_item_amount
296,91.0,P41,,-1,-3163.97,negative_quantity;negative_line_item_amount
312,95.0,P1,3.0,-1,-4434.95,negative_quantity;negative_line_item_amount
324,98.0,P71,3.0,-1,-4651.68,negative_quantity;negative_line_item_amount
330,100.0,P24,2.0,-1,-2810.81,negative_quantity;negative_line_item_amount
339,103.0,P67,4.0,-1,-909.12,negative_quantity;negative_line_item_amount
350,106.0,P74,3.0,-1,-35934.5,negative_quantity;negative_line_item_amount
363,110.0,P34,,-1,-115.9,negative_quantity;negative_line_item_amount
378,114.0,P55,,-1,-4053.2,negative_quantity;negative_line_item_amount
381,116.0,P54,2.0,-1,-4928.07,negative_quantity;negative_line_item_amount
423,128.0,P26,,-1,-3433.39,negative_quantity;negative_line_item_amount
444,133.0,P32,,-1,-1538.15,negative_quantity;negative_line_item_amount
445,134.0,P60,,-1,-3686.35,negative_quantity;negative_line_item_amount
500,151.0,P8,1.0,-1,-2199.33,negative_quantity;negative_line_item_amount
521,160.0,P44,1.0,-1,-1074.66,negative_quantity;negative_line_item_amount
524,160.0,P29,1.0,-1,-3779.3,negative_quantity;negative_line_item_amount
532,162.0,P21,,-1,-3019.85,negative_quantity;negative_line_item_amount
547,167.0,P74,,-1,-3593.45,negative_quantity;negative_line_item_amount
555,169.0,P77,,-1,-1929.76,negative_quantity;negative_line_item_amount
598,183.0,P20,,-1,-1985.36,negative_quantity;negative_line_item_amount
603,184.0,P69,3.0,-1,-3072.31,negative_quantity;negative_line_item_amount
613,187.0,P50,4.0,-1,-3034.83,negative_quantity;negative_line_item_amount
614,187.0,P48,4.0,-1,-4619.93,negative_quantity;negative_line_item_amount
620,190.0,P11,1.0,-1,-4986.9,negative_quantity;negative_line_item_amount
624,191.0,P63,,-1,-2710.26,negative_quantity;negative_line_item_amount
648,196.0,P20,,-1,-1985.36,negative_quantity;negative_line_item_amount
649,196.0,P74,,-1,-3593.45,negative_quantity;negative_line_item_amount
694,208.0,P74,2.0,-1,-3593.45,negative_quantity;negative_line_item_amount
721,215.0,P51,4.0,-1,-2494.17,negative_quantity;negative_line_item_amount
727,218.0,P54,,-1,-4928.07,negative_quantity;negative_line_item_amount
728,219.0,P1,,-1,-4434.95,negative_quantity;negative_line_item_amount
738,222.0,P13,,-1,-2518.23,negative_quantity;negative_line_item_amount
742,224.0,P51,,-1,-2494.17,negative_quantity;negative_line_item_amount
746,226.0,P52,,-1,-648.15,negative_quantity;negative_line_item_amount
751,227.0,P68,,-1,-2685.6,negative_quantity;negative_line_item_amount
771,233.0,P68,,-1,-2685.6,negative_quantity;negative_line_item_amount
772,233.0,P29,,-1,-3779.3,negative_quantity;negative_line_item_amount
778,235.0,P52,3.0,-1,-648.15,negative_quantity;negative_line_item_amount
794,240.0,P17,,-1,-883.91,negative_quantity;negative_line_item_amount
808,246.0,P54,3.0,-1,-4928.07,negative_quantity;negative_line_item_amount
819,250.0,P55,,-1,-4053.2,negative_quantity;negative_line_item_amount
823,253.0,P52,,-1,-648.15,negative_quantity;negative_line_item_amount
827,254.0,P67,3.0,-1,-909.12,negative_quantity;negative_line_item_amount
832,256.0,P74,,-1,-3593.45,negative_quantity;negative_line_item_amount
837,258.0,P32,4.0,-1,-1538.15,negative_quantity;negative_line_item_amount
841,259.0,P41,,-1,-3163.97,negative_quantity;negative_line_item_amount
850,261.0,P48,,-1,-4619.93,negative_quantity;negative_line_item_amount
861,265.0,P76,4.0,-1,-3391.27,negative_quantity;negative_line_item_amount
876,272.0,P26,1.0,-1,-3433.39,negative_quantity;negative_line_item_amount
879,272.0,P47,,-1,-4772.15,negative_quantity;negative_line_item_amount
